file,code,label
CWE190_Integer_Overflow__int_connect_socket_multiply_02.c,"            int result = data * 2;
",1
CWE197_Numeric_Truncation_Error__int_rand_to_char_12.c,"        char charData = (char)data;
",1
CWE457_Use_of_Uninitialized_Variable__twointsclass_array_malloc_partial_init_15.cpp,"            printIntLine(data[i].intOne);
",1
CWE369_Divide_by_Zero__int_zero_divide_81_bad.cpp,"    printIntLine(100 / data);
",1
CWE190_Integer_Overflow__int64_t_max_multiply_18.c,"        int64_t result = data * 2;
",1
CWE190_Integer_Overflow__int64_t_fscanf_preinc_11.c,"            ++data;
",1
CWE415_Double_Free__new_delete_array_class_66a.cpp,"    TwoIntsClass * data;
",1
CWE190_Integer_Overflow__unsigned_int_max_add_53a.c,"{
",1
CWE190_Integer_Overflow__short_rand_preinc_45.c,"        ++data;
",1
CWE476_NULL_Pointer_Dereference__char_41.c,"    printHexCharLine(data[0]);
",1
CWE369_Divide_by_Zero__int_rand_divide_12.c,"        printIntLine(100 / data);
",1
CWE590_Free_Memory_Not_on_Heap__delete_array_int64_t_alloca_10.cpp,"    delete [] data;
",1
CWE190_Integer_Overflow__int_fgets_square_61a.c,"        int result = data * data;
",1
CWE190_Integer_Overflow__int_listen_socket_preinc_21.c,"            ++data;
",1
CWE590_Free_Memory_Not_on_Heap__delete_char_placement_new_31.cpp,"        delete data;
",1
CWE457_Use_of_Uninitialized_Variable__int_array_declare_no_init_18.c,"            printIntLine(data[i]);
",1
CWE134_Uncontrolled_Format_String__char_environment_vfprintf_31.c,"        vfprintf(stdout, data, args);
",1
CWE415_Double_Free__new_delete_array_long_63a.cpp,"{
",1
CWE134_Uncontrolled_Format_String__char_environment_vprintf_32.c,"        vprintf(data, args);
",1
CWE690_NULL_Deref_From_Return__int64_t_realloc_68a.c,"{
",1
CWE197_Numeric_Truncation_Error__short_rand_22a.c,"        char charData = (char)data;
",1
CWE190_Integer_Overflow__char_fscanf_add_17.c,"            char result = data + 1;
",1
CWE190_Integer_Overflow__int_listen_socket_postinc_64a.c,"    {
",1
CWE369_Divide_by_Zero__float_listenSocket_17.c,"            int result = (int)(100.0 / data);
",1
CWE457_Use_of_Uninitialized_Variable__char_pointer_13.c,"        printLine(data);
",1
CWE590_Free_Memory_Not_on_Heap__free_char_static_05.c,"    free(data);
",1
CWE197_Numeric_Truncation_Error__int_fgets_to_char_12.c,"        char charData = (char)data;
",1
CWE416_Use_After_Free__new_delete_int_08.cpp,"        printIntLine(*data);
",1
CWE190_Integer_Overflow__int_max_preinc_66a.c,"    int dataArray[5];
",1
CWE190_Integer_Overflow__int_max_add_74a.cpp,"    map<int, int> dataMap;
",1
CWE665_Improper_Initialization__char_cat_61a.c,"
",1
CWE190_Integer_Overflow__int64_t_max_postinc_65a.c,"{
",1
CWE190_Integer_Overflow__int_max_multiply_17.c,"            int result = data * 2;
",1
CWE190_Integer_Overflow__short_max_postinc_51a.c,"{
",1
CWE78_OS_Command_Injection__char_environment_popen_81_bad.cpp,"        pipe = POPEN(data, ""w"");
",1
CWE476_NULL_Pointer_Dereference__struct_12.c,"        printIntLine(data->intOne);
",1
CWE78_OS_Command_Injection__char_connect_socket_execlp_84a.cpp,,1
CWE590_Free_Memory_Not_on_Heap__delete_class_static_08.cpp,"    delete data;
",1
CWE401_Memory_Leak__struct_twoIntsStruct_malloc_64a.c,"    data = NULL;
",1
CWE190_Integer_Overflow__int_rand_square_22a.c,"    data = RAND32();
",1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_66a.c,"    char * data;
",1
CWE369_Divide_by_Zero__int_zero_modulo_04.c,"        printIntLine(100 % data);
",1
CWE190_Integer_Overflow__short_rand_preinc_65a.c,"{
",1
CWE134_Uncontrolled_Format_String__char_listen_socket_snprintf_12.c,"            SNPRINTF(dest, 100-1, data);
",1
CWE415_Double_Free__malloc_free_char_42.c,"    free(data);
",1
CWE190_Integer_Overflow__char_fscanf_square_15.c,"        char result = data * data;
",1
CWE690_NULL_Deref_From_Return__char_malloc_21.c,"        strcpy(data, ""Initialize"");
",1
CWE190_Integer_Overflow__short_rand_add_10.c,"            short result = data + 1;
",1
CWE415_Double_Free__new_delete_class_10.cpp,"        delete data;
",1
CWE457_Use_of_Uninitialized_Variable__struct_array_alloca_partial_init_06.c,"                printIntLine(data[i].intTwo);
",1
CWE590_Free_Memory_Not_on_Heap__free_struct_declare_14.c,"    free(data);
",1
CWE190_Integer_Overflow__short_max_add_08.c,"            short result = data + 1;
",1
CWE197_Numeric_Truncation_Error__int_large_to_char_05.c,"        char charData = (char)data;
",1
CWE690_NULL_Deref_From_Return__int64_t_calloc_03.c,"        data[0] = 5LL;
",1
CWE457_Use_of_Uninitialized_Variable__twointsclass_array_malloc_partial_init_07.cpp,"            printIntLine(data[i].intTwo);
",1
CWE416_Use_After_Free__new_delete_long_11.cpp,"        printLongLine(*data);
",1
CWE190_Integer_Overflow__short_rand_multiply_66a.c,"    data = 0;
",1
CWE590_Free_Memory_Not_on_Heap__delete_class_placement_new_06.cpp,"    delete data;
",1
CWE190_Integer_Overflow__short_fscanf_multiply_41.c,"        short result = data * 2;
",1
CWE590_Free_Memory_Not_on_Heap__delete_int64_t_declare_45.cpp,"    delete data;
",1
CWE190_Integer_Overflow__char_fscanf_square_45.c,"        char result = data * data;
",1
CWE416_Use_After_Free__malloc_free_char_15.c,"        printLine(data);
",1
CWE415_Double_Free__new_delete_class_74a.cpp,"    TwoIntsClass * data;
",1
CWE590_Free_Memory_Not_on_Heap__delete_array_int64_t_declare_68a.cpp,"    {
",1
CWE190_Integer_Overflow__unsigned_int_rand_preinc_61a.c,"        ++data;
",1
CWE401_Memory_Leak__new_int64_t_81a.cpp,"{
",1
CWE134_Uncontrolled_Format_String__char_file_fprintf_81a.cpp,"{
",1
CWE415_Double_Free__malloc_free_long_06.c,"        free(data);
",1
CWE78_OS_Command_Injection__char_file_execlp_61a.c,"    EXECLP(COMMAND_INT, COMMAND_INT, COMMAND_ARG1, COMMAND_ARG3, NULL);
",1
CWE789_Uncontrolled_Mem_Alloc__new_char_connect_socket_84_bad.cpp,"            myString = new char[data];
",1
CWE590_Free_Memory_Not_on_Heap__delete_array_struct_declare_01.cpp,"    delete [] data;
",1
CWE190_Integer_Overflow__unsigned_int_max_preinc_15.c,"        ++data;
",1
CWE190_Integer_Overflow__char_max_square_13.c,"            char result = data * data;
",1
CWE134_Uncontrolled_Format_String__char_connect_socket_fprintf_32.c,"        fprintf(stdout, data);
",1
CWE78_OS_Command_Injection__char_listen_socket_system_11.c,"    if (SYSTEM(data) != 0)
",1
CWE134_Uncontrolled_Format_String__char_console_vprintf_03.c,"        vprintf(data, args);
",1
CWE690_NULL_Deref_From_Return__char_calloc_04.c,"        strcpy(data, ""Initialize"");
",1
CWE134_Uncontrolled_Format_String__char_environment_printf_84_bad.cpp,"    printf(data);
",1
CWE789_Uncontrolled_Mem_Alloc__new_char_rand_44.cpp,"            myString = new char[data];
",1
CWE416_Use_After_Free__new_delete_struct_07.cpp,"        printStructLine(data);
",1
CWE197_Numeric_Truncation_Error__short_connect_socket_13.c,"        char charData = (char)data;
",1
CWE190_Integer_Overflow__char_max_multiply_83_bad.cpp,"        char result = data * 2;
",1
CWE190_Integer_Overflow__int_connect_socket_multiply_11.c,"            int result = data * 2;
",1
CWE415_Double_Free__malloc_free_int64_t_64a.c,"    data = NULL;
",1
CWE190_Integer_Overflow__int_rand_postinc_22a.c,"    data = 0;
",1
CWE190_Integer_Overflow__char_max_square_16.c,"            char result = data * data;
",1
CWE590_Free_Memory_Not_on_Heap__delete_array_int64_t_alloca_63a.cpp,"    int64_t * data;
",1
CWE190_Integer_Overflow__int64_t_fscanf_postinc_63a.c,"{
",1
CWE190_Integer_Overflow__int_listen_socket_postinc_05.c,"            data++;
",1
CWE190_Integer_Overflow__int_fgets_square_63a.c,"    int data;
",1
CWE590_Free_Memory_Not_on_Heap__delete_int_static_65a.cpp,"{
",1
CWE134_Uncontrolled_Format_String__char_environment_vfprintf_82_bad.cpp,"        vfprintf(stdout, data, args);
",1
CWE134_Uncontrolled_Format_String__char_listen_socket_vfprintf_82_bad.cpp,"        vfprintf(stdout, data, args);
",1
CWE190_Integer_Overflow__unsigned_int_max_postinc_21.c,"            data++;
",1
CWE190_Integer_Overflow__int_max_square_12.c,"            int result = data * data;
",1
CWE190_Integer_Overflow__short_fscanf_square_81a.cpp,"    fscanf (stdin, ""%hd"", &data);
",1
CWE252_Unchecked_Return_Value__char_sscanf_02.c,"            sscanf(SRC, ""%99s\0"", data);
",1
CWE134_Uncontrolled_Format_String__char_connect_socket_vfprintf_05.c,"        vfprintf(stdout, data, args);
",1
CWE415_Double_Free__new_delete_struct_32.cpp,"        delete data;
",1
CWE252_Unchecked_Return_Value__char_fputs_18.c,"    fputs(""string"", stdout);
",1
CWE190_Integer_Overflow__short_rand_multiply_83a.cpp,"
",1
CWE78_OS_Command_Injection__char_listen_socket_system_04.c,"    if (SYSTEM(data) != 0)
",1
CWE190_Integer_Overflow__int_max_multiply_42.c,"        int result = data * 2;
",1
CWE415_Double_Free__malloc_free_char_81_bad.cpp,"    free(data);
",1
CWE590_Free_Memory_Not_on_Heap__free_struct_static_32.c,"        free(data);
",1
CWE190_Integer_Overflow__char_fscanf_square_12.c,"            char result = data * data;
",1
CWE467_Use_of_sizeof_on_Pointer_Type__char_18.c,"        badChar = (char *)malloc(sizeof(badChar));
",1
CWE190_Integer_Overflow__int_connect_socket_multiply_04.c,"            int result = data * 2;
",1
CWE197_Numeric_Truncation_Error__short_fgets_12.c,"        char charData = (char)data;
",1
CWE401_Memory_Leak__int64_t_realloc_22a.c,"    int64_t * data;
",1
CWE467_Use_of_sizeof_on_Pointer_Type__int_01.c,"        badInt = (int *)malloc(sizeof(badInt));
",1
CWE190_Integer_Overflow__int_rand_preinc_06.c,"            ++data;
",1
CWE78_OS_Command_Injection__char_console_popen_32.c,"            pipe = POPEN(data, ""w"");
",1
CWE457_Use_of_Uninitialized_Variable__int_04.c,"        printIntLine(data);
",1
CWE197_Numeric_Truncation_Error__int_listen_socket_to_char_64a.c,"    {
",1
CWE134_Uncontrolled_Format_String__char_file_fprintf_82a.cpp,"{
",1
CWE190_Integer_Overflow__int_rand_multiply_34.c,"            int result = data * 2;
",1
CWE690_NULL_Deref_From_Return__long_realloc_33.cpp,"        data[0] = 5L;
",1
CWE590_Free_Memory_Not_on_Heap__delete_class_placement_new_41.cpp,"    delete data;
",1
CWE690_NULL_Deref_From_Return__int_calloc_73a.cpp,"    int * data;
",1
CWE190_Integer_Overflow__char_fscanf_add_83_bad.cpp,"        char result = data + 1;
",1
CWE197_Numeric_Truncation_Error__int_large_to_char_21.c,"        char charData = (char)data;
",1
CWE369_Divide_by_Zero__int_zero_modulo_03.c,"        printIntLine(100 % data);
",1
CWE401_Memory_Leak__struct_twoIntsStruct_malloc_72a.cpp,"{
",1
CWE590_Free_Memory_Not_on_Heap__delete_array_long_alloca_09.cpp,"    delete [] data;
",1
CWE190_Integer_Overflow__unsigned_int_fscanf_square_68a.c,"    unsigned int data;
",1
CWE590_Free_Memory_Not_on_Heap__delete_array_int64_t_static_18.cpp,"    delete [] data;
",1
CWE401_Memory_Leak__malloc_realloc_twoIntsStruct_17.c,"            data = (twoIntsStruct *)realloc(data, (130000)*sizeof(twoIntsStruct));
",1
CWE134_Uncontrolled_Format_String__char_listen_socket_printf_11.c,"        printf(data);
",1
CWE590_Free_Memory_Not_on_Heap__delete_struct_declare_18.cpp,"    delete data;
",1
CWE690_NULL_Deref_From_Return__fopen_61a.c,"    fclose(data);
",1
CWE78_OS_Command_Injection__char_listen_socket_execlp_17.c,"    EXECLP(COMMAND_INT, COMMAND_INT, COMMAND_ARG1, COMMAND_ARG3, NULL);
",1
CWE457_Use_of_Uninitialized_Variable__int_array_malloc_no_init_16.c,"                printIntLine(data[i]);
",1
CWE457_Use_of_Uninitialized_Variable__int_pointer_17.c,"        printIntLine(*data);
",1
CWE252_Unchecked_Return_Value__char_puts_17.c,"        PUTS(""string"");
",1
CWE369_Divide_by_Zero__float_fgets_31.c,"            int result = (int)(100.0 / data);
",1
CWE190_Integer_Overflow__int64_t_rand_preinc_17.c,"            ++data;
",1
CWE401_Memory_Leak__malloc_realloc_int_07.c,"            data = (int *)realloc(data, (130000)*sizeof(int));
",1
CWE789_Uncontrolled_Mem_Alloc__malloc_char_rand_11.c,"                myString = (char *)malloc(data*sizeof(char));
",1
CWE457_Use_of_Uninitialized_Variable__int64_t_09.c,"        printLongLongLine(data);
",1
CWE190_Integer_Overflow__char_max_square_62a.cpp,"        char result = data * data;
",1
CWE590_Free_Memory_Not_on_Heap__free_char_declare_09.c,"    free(data);
",1
CWE190_Integer_Overflow__unsigned_int_rand_square_84a.cpp,"
",1
CWE369_Divide_by_Zero__int_fgets_modulo_03.c,"        printIntLine(100 % data);
",1
CWE415_Double_Free__new_delete_array_struct_13.cpp,"        delete [] data;
",1
CWE416_Use_After_Free__new_delete_array_struct_17.cpp,"        printStructLine(&data[0]);
",1
CWE690_NULL_Deref_From_Return__struct_malloc_01.c,"    data[0].intOne = 1;
",1
CWE590_Free_Memory_Not_on_Heap__delete_array_char_static_44.cpp,"    delete [] data;
",1
CWE590_Free_Memory_Not_on_Heap__delete_int_placement_new_11.cpp,"    delete data;
",1
CWE190_Integer_Overflow__int64_t_max_square_44.c,"        int64_t result = data * data;
",1
CWE476_NULL_Pointer_Dereference__binary_if_07.c,"            if ((twoIntsStructPointer != NULL) & (twoIntsStructPointer->intOne == 5))
",1
CWE415_Double_Free__malloc_free_char_33.cpp,"        free(data);
",1
CWE190_Integer_Overflow__int64_t_max_multiply_54a.c,"    int64_t data;
",1
CWE415_Double_Free__malloc_free_struct_02.c,"        free(data);
",1
CWE476_NULL_Pointer_Dereference__char_54a.c,"{
",1
CWE563_Unused_Variable__unused_value_char_11.c,"        data = 'Z';
",1
CWE190_Integer_Overflow__int64_t_fscanf_multiply_72a.cpp,"    vector<int64_t> dataVector;
",1
CWE401_Memory_Leak__int64_t_realloc_74a.cpp,"{
",1
CWE190_Integer_Overflow__int64_t_fscanf_add_06.c,"            int64_t result = data + 1;
",1
CWE457_Use_of_Uninitialized_Variable__long_62a.cpp,"    printLongLine(data);
",1
CWE415_Double_Free__new_delete_array_int_63a.cpp,"{
",1
CWE190_Integer_Overflow__int_fscanf_multiply_05.c,"            int result = data * 2;
",1
CWE457_Use_of_Uninitialized_Variable__twointsclass_array_malloc_partial_init_08.cpp,"            printIntLine(data[i].intTwo);
",1
CWE415_Double_Free__new_delete_int_18.cpp,"    delete data;
",1
CWE457_Use_of_Uninitialized_Variable__double_array_alloca_partial_init_62a.cpp,"            printDoubleLine(data[i]);
",1
CWE190_Integer_Overflow__int_fgets_multiply_03.c,"            int result = data * 2;
",1
CWE197_Numeric_Truncation_Error__short_listen_socket_83_bad.cpp,"        char charData = (char)data;
",1
CWE789_Uncontrolled_Mem_Alloc__malloc_char_rand_12.c,"                myString = (char *)malloc(data*sizeof(char));
",1
CWE401_Memory_Leak__char_calloc_73a.cpp,"{
",1
CWE690_NULL_Deref_From_Return__int64_t_realloc_63a.c,"{
",1
CWE252_Unchecked_Return_Value__char_fgets_18.c,"        fgets(data, 100, stdin);
",1
CWE401_Memory_Leak__struct_twoIntsStruct_calloc_82a.cpp,"{
",1
CWE590_Free_Memory_Not_on_Heap__delete_struct_declare_06.cpp,"    delete data;
",1
CWE190_Integer_Overflow__int64_t_fscanf_postinc_12.c,"            data++;
",1
CWE190_Integer_Overflow__short_rand_add_68a.c,"    short data;
",1
CWE134_Uncontrolled_Format_String__char_console_vprintf_42.c,"        vprintf(data, args);
",1
CWE476_NULL_Pointer_Dereference__struct_81a.cpp,"    twoIntsStruct * data;
",1
CWE134_Uncontrolled_Format_String__char_file_printf_16.c,"        printf(data);
",1
CWE563_Unused_Variable__unused_uninit_variable_char_84a.cpp,"
",1
CWE369_Divide_by_Zero__int_fgets_modulo_33.cpp,"        printIntLine(100 % data);
",1
CWE415_Double_Free__new_delete_array_int_68a.cpp,"{
",1
CWE190_Integer_Overflow__unsigned_int_max_add_01.c,"        unsigned int result = data + 1;
",1
CWE590_Free_Memory_Not_on_Heap__delete_array_int64_t_static_12.cpp,"    delete [] data;
",1
CWE590_Free_Memory_Not_on_Heap__delete_int64_t_placement_new_15.cpp,"    delete data;
",1
CWE369_Divide_by_Zero__float_zero_10.c,"            int result = (int)(100.0 / data);
",1
CWE590_Free_Memory_Not_on_Heap__delete_array_class_static_67a.cpp,"    TwoIntsClass * data;
",1
CWE190_Integer_Overflow__int_connect_socket_add_66a.c,"    int dataArray[5];
",1
CWE134_Uncontrolled_Format_String__char_console_fprintf_13.c,"        fprintf(stdout, data);
",1
CWE190_Integer_Overflow__int_rand_square_54a.c,"{
",1
CWE690_NULL_Deref_From_Return__char_realloc_67a.c,"{
",1
CWE190_Integer_Overflow__int_max_square_32.c,"            int result = data * data;
",1
CWE190_Integer_Overflow__int_fgets_postinc_64a.c,"    {
",1
CWE401_Memory_Leak__new_array_int_54a.cpp,"
",1
CWE190_Integer_Overflow__int_connect_socket_multiply_16.c,"            int result = data * 2;
",1
CWE190_Integer_Overflow__char_max_add_14.c,"            char result = data + 1;
",1
CWE415_Double_Free__new_delete_char_74a.cpp,"    char * data;
",1
CWE590_Free_Memory_Not_on_Heap__free_long_static_45.c,"    free(data);
",1
CWE134_Uncontrolled_Format_String__char_environment_fprintf_82a.cpp,"
",1
CWE197_Numeric_Truncation_Error__short_connect_socket_17.c,"        char charData = (char)data;
",1
CWE197_Numeric_Truncation_Error__int_fscanf_to_char_13.c,"        char charData = (char)data;
",1
CWE190_Integer_Overflow__short_rand_postinc_17.c,"            data++;
",1
CWE252_Unchecked_Return_Value__char_rename_06.c,"        RENAME(OLD_BAD_FILE_NAME, ""newbadfilename.txt"");
",1
CWE590_Free_Memory_Not_on_Heap__delete_int_declare_41.cpp,"    delete data;
",1
CWE457_Use_of_Uninitialized_Variable__struct_array_alloca_no_init_17.c,"                printIntLine(data[i].intTwo);
",1
CWE369_Divide_by_Zero__int_listen_socket_divide_05.c,"        printIntLine(100 / data);
",1
CWE190_Integer_Overflow__int_fgets_add_10.c,"            int result = data + 1;
",1
CWE590_Free_Memory_Not_on_Heap__delete_int_declare_18.cpp,"    delete data;
",1
CWE190_Integer_Overflow__int_fgets_multiply_34.c,"            int result = data * 2;
",1
CWE134_Uncontrolled_Format_String__char_console_vfprintf_17.c,"        vfprintf(stdout, data, args);
",1
CWE190_Integer_Overflow__int_rand_preinc_12.c,"            ++data;
",1
CWE467_Use_of_sizeof_on_Pointer_Type__char_08.c,"            badChar = (char *)malloc(sizeof(badChar));
",1
CWE78_OS_Command_Injection__char_file_execl_54a.c,"    char dataBuffer[100] = COMMAND_ARG2;
",1
CWE590_Free_Memory_Not_on_Heap__free_struct_alloca_33.cpp,"        free(data);
",1
CWE690_NULL_Deref_From_Return__int_realloc_17.c,"        data[0] = 5;
",1
CWE401_Memory_Leak__new_int_64a.cpp,"    data = NULL;
",1
CWE197_Numeric_Truncation_Error__int_rand_to_char_10.c,"        char charData = (char)data;
",1
CWE415_Double_Free__malloc_free_struct_81a.cpp,"    twoIntsStruct * data;
",1
CWE690_NULL_Deref_From_Return__struct_malloc_42.c,"    data[0].intTwo = 1;
",1
CWE134_Uncontrolled_Format_String__char_file_vprintf_11.c,"        vprintf(data, args);
",1
CWE190_Integer_Overflow__int_connect_socket_postinc_41.c,"        data++;
",1
CWE134_Uncontrolled_Format_String__char_environment_snprintf_12.c,"            SNPRINTF(dest, 100-1, data);
",1
CWE190_Integer_Overflow__int_fscanf_add_45.c,"        int result = data + 1;
",1
CWE190_Integer_Overflow__char_fscanf_add_51a.c,"{
",1
CWE190_Integer_Overflow__short_fscanf_postinc_01.c,"        data++;
",1
CWE197_Numeric_Truncation_Error__int_rand_to_char_33.cpp,"            char charData = (char)data;
",1
CWE369_Divide_by_Zero__float_zero_72a.cpp,"    vector<float> dataVector;
",1
CWE457_Use_of_Uninitialized_Variable__struct_array_malloc_partial_init_07.c,"                printIntLine(data[i].intTwo);
",1
CWE415_Double_Free__malloc_free_int64_t_43.cpp,"    free(data);
",1
CWE190_Integer_Overflow__int_fgets_square_03.c,"            int result = data * data;
",1
CWE197_Numeric_Truncation_Error__int_listen_socket_to_short_63a.c,"    int data;
",1
CWE415_Double_Free__new_delete_array_class_07.cpp,"        delete [] data;
",1
CWE457_Use_of_Uninitialized_Variable__int_array_declare_partial_init_64a.c,"        for(i=0; i<(10/2); i++)
",1
CWE190_Integer_Overflow__char_max_postinc_41.c,"        data++;
",1
CWE190_Integer_Overflow__int64_t_max_preinc_15.c,"        ++data;
",1
CWE190_Integer_Overflow__short_rand_add_82a.cpp,"    data = 0;
",1
CWE369_Divide_by_Zero__int_rand_divide_61a.c,"    printIntLine(100 / data);
",1
